epoch,train_loss,train_acc,test_loss,test_acc
1,0.5411352424955368,0.81102,0.34772506074905396,0.8819
2,0.28682464866638185,0.90026,0.31898458852767947,0.8926
3,0.1872445063304901,0.9344,0.27428546891212463,0.906
4,0.13109069550275804,0.95394,0.2747847652435303,0.9108
5,0.09244807278633117,0.9671,0.27378912806510924,0.9158
6,0.07740758847236634,0.97294,0.2887266517162323,0.9148
7,0.05879090556323528,0.97944,0.3140307978153229,0.9154
8,0.05056829712986946,0.98254,0.2943372417509556,0.918
9,0.04694637947231531,0.98364,0.34334191999435426,0.912
10,0.04189146717846393,0.98592,0.3396444605827332,0.9122
11,0.041404951367378234,0.9857,0.3288062678217888,0.9139
12,0.03665074275135994,0.98782,0.37180560562610626,0.9118
13,0.032752103018164634,0.9889,0.35049907231330873,0.9086
14,0.033107546119987966,0.98878,0.39011551562547686,0.909
15,0.03326896759107709,0.98806,0.3715318091869354,0.9159
16,0.02769459548741579,0.99064,0.3497655245244503,0.9172
17,0.028809740775227546,0.9905,0.3786442818164825,0.9144
18,0.027425468952804805,0.99084,0.3961322825431824,0.9064
19,0.028882903770506382,0.99062,0.37486693019866946,0.9143
20,0.028210972623825072,0.9906,0.3711901733160019,0.9146
